cycle, B, CTmin
19900, 32.0988, 4.7174
19900, 31.501, 4.62298
19900, 30.9156, 4.83046
19900, 31.7599, 5.79867
19900, 31.6412, 5.36427
19900, 30.5898, 5.12983
19900, 31.2525, 4.90794
19900, 31.2404, 6.09606
19900, 32.7863, 5.17335
19900, 32.0998, 5.78906
19900, 32.3837, 5.41049
19900, 31.2446, 6.36571
19900, 31.2378, 5.8756
19900, 30.8808, 5.40704
19900, 32.7707, 6.32535
19900, 31.9787, 5.71352
19900, 31.4087, 6.0184
19900, 32.8647, 5.32134
19900, 32.1546, 5.20157
19900, 32.4976, 5.59594
19900, 33.4206, 4.855
19900, 30.0755, 5.61279
19900, 31.3938, 5.17319
19900, 33.0394, 6.5656
19900, 30.2824, 5.73352
19900, 32.385, 5.75306
19900, 31.1672, 6.81893
19900, 31.6477, 6.18457
19900, 31.2126, 7.95378
19900, 30.8445, 4.50686
19900, 30.952, 5.90734
19900, 31.5099, 4.40531
19900, 32.6004, 5.14928
19900, 31.29, 5.12211
19900, 32.0325, 7.07446
19900, 31.3709, 5.63139
19900, 30.4426, 5.72186
19900, 32.3027, 6.59122
19900, 31.5922, 5.84647
19900, 32.4509, 8.15217
19900, 33.6404, 3.98903
19900, 31.4709, 5.58934
19900, 30.7556, 6.24102
19900, 31.1721, 5.54479
19900, 32.3738, 5.17715
19900, 31.7517, 7.80156
19900, 30.7774, 5.85925
19900, 31.1359, 6.67016
19900, 32.6748, 4.97842
19900, 32.7568, 6.51266
19900, 33.1059, 4.75281
19900, 32.0195, 5.46555
19900, 31.3938, 3.83269
19900, 29.8424, 6.80471
19900, 32.3018, 5.65341
19900, 31.4729, 5.12975
19900, 31.126, 6.68757
19900, 32.7599, 5.83319
19900, 33.0472, 6.94591
19900, 31.3729, 6.00428
19900, 32.5361, 4.71857
19900, 30.4109, 5.69242
19900, 32.4224, 6.03953
19900, 32.9493, 4.60334
19900, 32.4236, 6.07479
19900, 31.2517, 7.07652
19900, 30.8213, 5.75915
19900, 30.4876, 5.94973
19900, 31.941, 5.12829
19900, 32.3942, 6.42446
19900, 32.275, 5.8385
19900, 31.8929, 5.3995
19900, 33.9834, 5.33478
19900, 32.6047, 4.82325
19900, 31.9403, 6.28038
19900, 31.9931, 4.99471
19900, 33.1495, 5.82575
19900, 31.0778, 7.38046
19900, 31.9688, 6.50054
19900, 31.6499, 4.9151
19900, 31.2667, 5.69953
19900, 32.8446, 4.97313
19900, 32.0714, 5.17111
19900, 31.7623, 6.88366
19900, 32.1631, 5.26179
19900, 31.164, 5.65082
19900, 30.5515, 5.53308
19900, 31.2165, 4.76662
19900, 32.5781, 5.51704
19900, 31.4963, 4.40155
19900, 32.2457, 6.152
19900, 30.9627, 6.43681
19900, 32.215, 6.0369
19900, 30.8982, 4.35437
19900, 32.1291, 5.88822
19900, 29.9205, 6.2486
19900, 31.2586, 4.42741
19900, 30.5636, 5.62599
19900, 31.6123, 5.02364
19900, 31.6268, 6.79435
19901, 32.9893, 5.14354
19901, 32.7375, 5.72968
19901, 31.8499, 6.36531
19901, 31.6666, 6.31336
19901, 30.5727, 5.30218
19901, 31.6735, 4.91986
19901, 32.5089, 4.54884
19901, 31.533, 3.60926
19901, 30.7859, 7.04179
19901, 32.4095, 6.19506
19901, 31.601, 4.74573
19901, 32.7268, 5.59213
19901, 31.2363, 5.39158
19901, 32.1755, 4.90351
19901, 30.5694, 4.53464
19901, 32.5024, 6.41495
19901, 31.8591, 5.73627
19901, 30.5802, 7.1156
19901, 31.1709, 5.53789
19901, 32.1627, 4.98346
19901, 32.2889, 6.70106
19901, 32.3327, 6.63482
19901, 32.4287, 5.1996
19901, 31.3807, 4.45446
19901, 30.3066, 6.0245
19901, 32.0989, 5.82085
19901, 31.5829, 6.5261
19901, 31.0417, 7.64586
19901, 32.6293, 4.24293
19901, 32.8596, 5.22857
19901, 31.5645, 5.5137
19901, 31.6754, 6.57603
19901, 30.9001, 5.95636
19901, 31.5599, 6.1449
19901, 32.1049, 5.29232
19901, 32.3663, 4.68838
19901, 31.5337, 6.14146
19901, 31.8444, 5.56455
19901, 31.3498, 5.98558
19901, 31.8548, 5.46622
19901, 32.2178, 6.11469
19901, 31.7396, 6.5597
19901, 32.6789, 4.99977
19901, 32.9136, 3.99429
19901, 30.7119, 5.77445
19901, 31.1846, 4.70184
19901, 33.0484, 4.66302
19901, 31.8627, 5.23902
19901, 31.581, 6.55285
19901, 31.969, 4.99126
19901, 31.2173, 5.04867
19901, 31.8558, 6.77577
19901, 32.7323, 5.76106
19901, 33.0435, 6.04776
19901, 31.819, 5.35892
19901, 31.9066, 4.533
19901, 30.9015, 6.42525
19901, 30.3003, 7.28868
19901, 31.8044, 6.41658
19901, 32.3169, 6.73866
19901, 30.3476, 5.01479
19901, 32.8001, 6.32816
19901, 31.6077, 5.26701
19901, 31.1235, 7.212
19901, 31.6471, 6.04664
19901, 31.5956, 6.50304
19901, 29.9399, 5.95123
19901, 31.155, 8.1172
19901, 31.9988, 4.48781
19901, 31.5094, 5.12908
19901, 30.6502, 4.50948
