cycle,day,Temp,B_mean,B_sd,CTmin_mean,CTmin_sd,CTmax_mean,CTmax_sd,Topt_mean,Topt_sd,B_CTmin_cov,fitness_mean,fitness_sd
5000,10,20,31.7155,1.27675,4.69151,1.33524,36.407,1.83,25.8352,1.56992,-0.0320404,1.0,0.0
5001,20,20,31.7265,1.2566,4.69636,1.35077,36.4228,1.81376,25.8473,1.56539,-0.0569362,0.350249,0.188418
5002,30,20,31.7091,1.25765,4.75101,1.3399,36.4601,1.78156,25.8904,1.53718,-0.101536,0.352565,0.189081
5003,40,20,31.7032,1.2595,4.79397,1.32394,36.4971,1.79145,25.9294,1.5399,-0.0649253,0.350394,0.190968
5004,50,20,31.6721,1.25929,4.78765,1.28812,36.4597,1.7401,25.9024,1.48974,-0.108546,0.350074,0.189984
5005,60,20,31.669,1.26459,4.81508,1.29369,36.4841,1.75024,25.9278,1.49825,-0.104724,0.352748,0.190438
5006,70,20,31.6969,1.28298,4.81442,1.30717,36.5113,1.78213,25.9457,1.52352,-0.0893707,0.349936,0.191567
5007,80,20,31.6967,1.26238,4.85195,1.31282,36.5486,1.75086,25.9831,1.50467,-0.125811,0.348951,0.188895
5008,90,20,31.7116,1.27549,4.84593,1.32026,36.5575,1.76432,25.987,1.51483,-0.12856,0.355104,0.188448
5009,100,20,31.688,1.25901,4.85741,1.30987,36.5454,1.74902,25.9827,1.50302,-0.120896,0.346716,0.190116
5010,110,20,31.6976,1.24966,4.87151,1.2858,36.5691,1.72245,26.0032,1.47714,-0.124045,0.354024,0.186951
5011,120,20,31.7057,1.25089,4.89953,1.30938,36.6052,1.75991,26.0366,1.51282,-0.0909648,0.353311,0.187787
5012,130,20,31.6756,1.26871,4.95505,1.29833,36.6306,1.76915,26.0721,1.51354,-0.0826886,0.348438,0.189202
5013,140,20,31.6501,1.23845,4.95734,1.30511,36.6074,1.73595,26.0574,1.49531,-0.111788,0.349711,0.191889
5014,150,20,31.6608,1.24244,4.98584,1.29171,36.6466,1.73782,26.093,1.49214,-0.0960888,0.357605,0.188459
5015,160,20,31.6766,1.25946,5.02861,1.28423,36.7052,1.73419,26.1463,1.48398,-0.114034,0.353753,0.1891
5016,170,20,31.641,1.28271,5.02167,1.2627,36.6627,1.7415,26.1157,1.47909,-0.103468,0.352717,0.18989
5017,180,20,31.6199,1.25637,5.09513,1.26964,36.7151,1.74535,26.1751,1.48909,-0.0720956,0.352182,0.191519
5018,190,20,31.6066,1.25602,5.10003,1.25891,36.7067,1.72888,26.1711,1.47323,-0.0867047,0.355729,0.190656
5019,200,20,31.624,1.26353,5.09396,1.25871,36.7179,1.71922,26.1766,1.46418,-0.112577,0.351981,0.190526
5020,210,20,31.6233,1.26711,5.14612,1.25465,36.7694,1.74277,26.2283,1.4808,-0.0712293,0.356973,0.189301
5021,220,20,31.585,1.25435,5.20082,1.2786,36.7858,1.6941,26.2575,1.4521,-0.169128,0.353891,0.188183
5022,230,20,31.5527,1.27748,5.16447,1.2683,36.7171,1.73905,26.1996,1.47978,-0.10812,0.353077,0.189457
5023,240,20,31.5446,1.24814,5.20333,1.25421,36.7479,1.68947,26.2331,1.44257,-0.138293,0.353515,0.190857
5024,250,20,31.5342,1.2423,5.18431,1.27778,36.7185,1.66804,26.2071,1.43394,-0.196834,0.357224,0.188994
5025,260,20,31.559,1.25135,5.19868,1.30396,36.7576,1.70411,26.238,1.46792,-0.181095,0.357036,0.189553
5026,270,20,31.5518,1.25341,5.25403,1.29035,36.8058,1.71931,26.2886,1.47532,-0.140012,0.350862,0.191072
5027,280,20,31.5043,1.27544,5.2647,1.29206,36.769,1.7349,26.2676,1.48376,-0.143146,0.355115,0.190639
5028,290,20,31.5113,1.27434,5.2261,1.27418,36.7374,1.72731,26.2336,1.47287,-0.131938,0.355433,0.189357
5029,300,20,31.5243,1.27868,5.24911,1.26716,36.7734,1.72942,26.2653,1.47167,-0.124903,0.351849,0.191392
5030,310,20,31.5484,1.25274,5.24652,1.28481,36.795,1.701,26.2788,1.4596,-0.163349,0.353704,0.191273
5031,320,20,31.5039,1.24783,5.23051,1.26834,36.7344,1.68189,26.2331,1.44085,-0.168505,0.350754,0.189765
5032,330,20,31.4877,1.25146,5.21763,1.29648,36.7053,1.70618,26.2094,1.4673,-0.16797,0.355804,0.188075
5033,340,20,31.4789,1.26316,5.24186,1.28104,36.7208,1.68757,26.2278,1.44604,-0.194373,0.353307,0.190297
5034,350,20,31.5083,1.26035,5.28109,1.27442,36.7894,1.69908,26.2866,1.45361,-0.162871,0.354349,0.18915
5035,360,20,31.5284,1.22759,5.26737,1.26652,36.7958,1.66591,26.2863,1.43177,-0.167907,0.355424,0.190627
5036,370,20,31.5255,1.26167,5.27555,1.26464,36.801,1.69685,26.2925,1.44876,-0.15591,0.354854,0.18967
5037,380,20,31.512,1.24743,5.26507,1.28757,36.7771,1.6804,26.2731,1.44544,-0.19509,0.354424,0.190486
5038,390,20,31.4822,1.23988,5.26251,1.27176,36.7447,1.65479,26.2507,1.42234,-0.208175,0.355043,0.189502
5039,400,20,31.4561,1.25945,5.24166,1.29069,36.6978,1.69816,26.2124,1.45785,-0.184164,0.355469,0.189828
5040,410,20,31.4637,1.22832,5.25846,1.27354,36.7222,1.67125,26.2343,1.43784,-0.168814,0.355831,0.189669
5041,420,20,31.485,1.26449,5.26993,1.29286,36.755,1.68077,26.26,1.44401,-0.222722,0.362466,0.187343
5042,430,20,31.4651,1.25592,5.26049,1.26456,36.7256,1.68553,26.2372,1.44102,-0.167716,0.356958,0.188043
5043,440,20,31.4534,1.25995,5.28066,1.24465,36.7341,1.66608,26.2496,1.41921,-0.180401,0.360844,0.190197
