cycle,day,Temp,B_mean,B_sd,CTmin_mean,CTmin_sd,CTmax_mean,CTmax_sd,Topt_mean,Topt_sd,B_CTmin_cov,fitness_mean,fitness_sd
5000,10,17.5,31.1686,1.42759,4.74459,1.34782,35.9132,1.94192,25.5236,1.63299,-0.0417943,1.0,0.0
5001,20,20.5388,31.1659,1.4163,4.73914,1.3458,35.9051,1.93539,25.5164,1.62946,-0.035672,0.748803,0.110106
5002,30,23.4854,31.0915,1.41126,4.71177,1.32865,35.8033,1.89674,25.4395,1.59507,-0.0796785,0.838061,0.109651
5003,40,26.25,31.0451,1.39706,4.7277,1.32591,35.7728,1.88089,25.4244,1.58455,-0.0860297,0.809081,0.132638
5004,50,28.7488,31.0543,1.39326,4.82222,1.31418,35.8765,1.86804,25.5251,1.57184,-0.0893423,0.694875,0.168976
5005,60,30.9058,31.1155,1.38057,4.96308,1.30592,36.0786,1.83879,25.7067,1.54888,-0.115121,0.544028,0.199434
5006,70,32.6554,31.2562,1.36924,5.16888,1.29802,36.4251,1.8119,26.0064,1.52763,-0.138356,0.408795,0.211904
5007,80,33.9446,31.4678,1.35466,5.44717,1.28737,36.915,1.77203,26.4257,1.49601,-0.176164,0.327896,0.207205
5008,90,34.7341,31.7023,1.3381,5.72684,1.27542,37.4292,1.72909,26.8617,1.46202,-0.21372,0.299754,0.201576
5009,100,35.0,31.8917,1.32995,5.96692,1.26314,37.8586,1.71134,27.228,1.44612,-0.2178,0.318116,0.20433
5010,110,34.7341,31.9954,1.32345,6.12962,1.2588,38.1251,1.69475,27.4599,1.43309,-0.231949,0.384092,0.214293
5011,120,33.9446,32.0031,1.31855,6.22263,1.25928,38.2258,1.6897,27.5581,1.43025,-0.234637,0.48869,0.227537
5012,130,32.6554,31.9276,1.32084,6.238,1.26039,38.1656,1.69598,27.5231,1.43506,-0.228422,0.61213,0.242806
5013,140,30.9058,31.8148,1.31979,6.21571,1.26326,38.0305,1.69832,27.4256,1.43796,-0.226683,0.729421,0.253605
5014,150,28.7488,31.7001,1.32275,6.17688,1.26254,37.8769,1.70634,27.3103,1.44346,-0.216034,0.799606,0.255169
5015,160,26.25,31.5638,1.32361,6.11876,1.27031,37.6826,1.72746,27.1613,1.46219,-0.190754,0.792727,0.23304
5016,170,23.4854,31.4189,1.32409,6.03037,1.26545,37.4492,1.72721,26.9763,1.46049,-0.185662,0.694121,0.188906
5017,180,20.5388,31.2926,1.32403,5.9161,1.26976,37.2087,1.73069,26.7778,1.46448,-0.185036,0.521808,0.140058
5018,190,17.5,31.1723,1.32979,5.75661,1.26888,36.9289,1.7548,26.5381,1.48209,-0.14954,0.337187,0.0956176
5019,200,14.4612,31.0533,1.33202,5.56523,1.26787,36.6186,1.761,26.2675,1.48625,-0.140326,0.190277,0.0584097
5020,210,11.5146,30.9733,1.3394,5.33561,1.27189,36.3089,1.77789,25.9845,1.49928,-0.125399,0.0967881,0.0333163
5021,220,8.75,30.9094,1.34413,5.07252,1.26776,35.9819,1.78277,25.6788,1.50103,-0.117815,0.046551,0.0177141
5022,230,6.2512,30.8711,1.34079,4.75324,1.27146,35.6243,1.7879,25.3339,1.50679,-0.108888,0.0227595,0.00946926
5023,240,4.0942,30.8715,1.34281,4.41148,1.27137,35.283,1.79537,24.9925,1.51229,-0.0980774,0.0119444,0.00526518
5024,250,2.3446,30.9096,1.34291,4.05355,1.27867,34.9631,1.80708,24.6599,1.52357,-0.0864317,0.0071509,0.00328153
5025,260,1.0554,30.9345,1.35037,3.67491,1.28593,34.6094,1.81358,24.2979,1.52928,-0.0940101,0.00515738,0.00238082
5026,270,0.2659,30.9955,1.35357,3.28029,1.29895,34.2758,1.82112,23.944,1.53827,-0.101459,0.00461971,0.00207328
5027,280,0.0,31.0578,1.339,2.89209,1.30807,33.9499,1.81846,23.5973,1.54157,-0.09859,0.00514854,0.00216581
5028,290,0.2659,31.1085,1.35325,2.52999,1.3228,33.6385,1.82987,23.269,1.55197,-0.116331,0.00706456,0.00270138
5029,300,1.0554,31.1496,1.34633,2.20037,1.3415,33.35,1.82285,22.9668,1.55314,-0.144726,0.0114934,0.0038423
5030,310,2.3446,31.1817,1.33766,1.90292,1.34519,33.0846,1.82428,22.6907,1.55699,-0.13544,0.0212856,0.00596876
5031,320,4.0942,31.1786,1.34526,1.67687,1.3609,32.8555,1.83236,22.4626,1.56638,-0.152124,0.0420696,0.00966032
5032,330,6.2512,31.1247,1.34439,1.49863,1.36334,32.6233,1.83399,22.2484,1.56852,-0.151295,0.0844311,0.0155434
5033,340,8.75,31.0585,1.34973,1.394,1.36529,32.4525,1.82271,22.0997,1.55928,-0.181753,0.162093,0.024497
5034,350,11.5146,30.9648,1.34678,1.34927,1.37026,32.314,1.82338,21.9924,1.56182,-0.183358,0.283068,0.0387805
5035,360,14.4612,30.8707,1.35543,1.36635,1.36171,32.237,1.8252,21.9468,1.55907,-0.180048,0.433212,0.0624447
5036,370,17.5,30.7887,1.34815,1.45568,1.35986,32.2444,1.81821,21.9815,1.55449,-0.180415,0.569162,0.0956853
5037,380,20.5388,30.7165,1.35087,1.59825,1.35582,32.3147,1.82305,22.0759,1.55656,-0.169811,0.640563,0.131182
5038,390,23.4854,30.6794,1.35043,1.78498,1.34006,32.4644,1.81146,22.2379,1.54303,-0.169014,0.622845,0.15993
5039,400,26.25,30.6789,1.3503,2.03012,1.32815,32.709,1.79819,22.4827,1.52921,-0.176907,0.526794,0.183123
5040,410,28.7488,30.7681,1.33601,2.32399,1.30398,33.0921,1.77518,22.8361,1.50697,-0.167012,0.38543,0.199099
5041,420,30.9058,30.9772,1.32576,2.68885,1.29027,33.666,1.7521,23.3403,1.48692,-0.176282,0.256636,0.195374
5042,430,32.6554,31.3325,1.30943,3.17808,1.26456,34.5106,1.70955,24.0664,1.44927,-0.195579,0.189207,0.18119
5043,440,33.9446,31.7853,1.30982,3.6988,1.24305,35.4841,1.69755,24.889,1.43351,-0.189553,0.174931,0.177523
5044,450,34.7341,32.2376,1.30134,4.20552,1.22335,36.4432,1.66501,25.6973,1.40382,-0.2089,0.201403,0.182773
