seed,RUNTIME_IF_NO_EXTERNAL_TEMP_DATA,BURNIN,LOGINTERVAL,N_POP,MU,RECOMBINATION_RATE,RECOVERY,GEN_LEN_DEPENDS_ON_TEMP,FIXED_GEN_LEN,USE_EXTERNAL_TEMP_DATA,TEMPDATA_PATH,MEAN_TEMP,STDEV_TEMP,NUM_DAYS_TO_REPEAT,NUM_REP_TEMP_DATA,B_default,CTmin_default,B_critical,DeltaB,CTmin_critical,DeltaCTmin,CTmax_critical,DeltaCTmax,OUTDIR,OUTNAME
0,20000,5000,1,500,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,1,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_35_STDEV_TEMP_1_N_500_seed_0
0,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,1,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_35_STDEV_TEMP_1_N_5000_seed_0
0,20000,5000,1,50000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,1,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_35_STDEV_TEMP_1_N_50000_seed_0
1,20000,5000,1,500,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,1,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_35_STDEV_TEMP_1_N_500_seed_1
1,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,1,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_35_STDEV_TEMP_1_N_5000_seed_1
1,20000,5000,1,50000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,1,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_35_STDEV_TEMP_1_N_50000_seed_1
2,20000,5000,1,500,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,1,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_35_STDEV_TEMP_1_N_500_seed_2
2,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,1,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_35_STDEV_TEMP_1_N_5000_seed_2
2,20000,5000,1,50000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,1,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_35_STDEV_TEMP_1_N_50000_seed_2
3,20000,5000,1,500,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,1,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_35_STDEV_TEMP_1_N_500_seed_3
